event_id,artist_id,venue_id,start_date,attendance,average_ticket_price
EV-3adca30d-b5ea,AR-4de1a19c-0779,VN-Arena16800OH-621a3f60-24c0,1/2/14,10542,41.45
EV-bc114a58-3eaf,AR-4de1a19c-0779,VN-Arena15200NY-Own-334a8797-8708,1/11/14,11390,57.35
EV-78a9775c-5eee,AR-4de1a19c-0779,VN-Arena15200NY-Own-334a8797-8708,8/29/14,11482,57.36
EV-cf249300-7259,AR-4de1a19c-0779,VN-Arena15200NY-Own-334a8797-8708,2/15/17,152,59.63
EV-54753efb-60ca,AR-4de1a19c-0779,VN-Arena14400OK-Own-226f9270-4eb6,1/17/14,9513,42.79
EV-b991cc54-ab8a,AR-4de1a19c-0779,VN-Arena14400OK-Own-226f9270-4eb6,4/30/16,10115,54.4
EV-f69c41f4-7e19,AR-4de1a19c-0779,VN-Arena14400OK-Own-226f9270-4eb6,5/6/22,4682,56.64
EV-dbbb4c2c-7b4a,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,1/23/14,7822,43.21
EV-de550851-ce03,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,5/4/17,6344,53.05
EV-388bfd4e-6fbb,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,5/5/17,5930,51.0
EV-5f5cea74-c934,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,2/14/20,6346,60.47
EV-dfc6fd7e-13e0,AR-4de1a19c-0779,VN-Arena13600NE-675aa958-92cd,1/25/14,11164,41.5
EV-5e1517b5-6817,AR-4de1a19c-0779,VN-Arena13600NE-675aa958-92cd,4/28/16,11770,54.49
EV-53684fd5-e1fd,AR-4de1a19c-0779,VN-Arena13600NE-675aa958-92cd,7/19/18,8721,56.11
EV-92b8a4a5-a21b,AR-4de1a19c-0779,VN-Arena11200NJ-ff81b94b-b852,2/1/14,9714,45.4
EV-bc69661a-3e2b,AR-4de1a19c-0779,VN-Arena11200NJ-ff81b94b-b852,5/20/16,9311,61.42
EV-6a16a7ce-e652,AR-4de1a19c-0779,VN-Arena11200NJ-ff81b94b-b852,2/9/18,10096,69.21
EV-527c062b-eefe,AR-4de1a19c-0779,VN-Arena18800NC-Own-a94dd55c-5e7c,2/3/14,10657,45.11
